,,SAINT-DENIS,93210,,zoe-julie.charrier@server.fr,
Brigitte,Adam,PARIS,75008,01.40.21.26.97,brigitte.adam@server.fr,
Capucine,Adam,PARIS,75019,01.38.12.40.65,capucine.adam@server.fr,
,Adam,,,01.68.71.73.31,capucine.adam@server.fr,
,Adam,PARIS,75116,01.04.14.21.99,catherine.adam@server.fr,agriculteur
Christophe,Adam,BORDEAUX,33100,05.89.11.13.05,christophe.adam@server.fr,chef d'entreprise
Henri,Adam,,,04.05.34.49.43,henri.adam@server.fr,
Hugues,Adam,RENNES,35200,02.23.31.78.91,hugues.adam@server.fr,
Madeleine,Adam,MARSEILLE,13013,04.37.66.24.21,madeleine.adam@server.fr,
,Adam,MARSEILLE,13009,04.75.51.05.01,,
Marianne-Nath,Adam,TOULON,83000,04.81.19.45.93,marianne-nath.adam@server.fr,
Philippe-Bernard,Adam,TOULOUSE,31300,05.47.27.25.65,philippe-bernard.adam@server.fr,informaticien
Thomas,Adam,STRASBOURG,67100,03.39.74.87.75,thomas.adam@server.fr,
Marc,Adam-Hamel,LYON,69002,04.92.81.94.32,marc.adam-hamel@server.fr,
Bernard-Alphonse,Albert,PARIS,75017,01.01.70.41.38,bernard-alphonse.albert@server.fr,medecin
Margaux,Albert,SAINT-DENIS,93210,01.02.09.57.41,margaux.albert@server.fr,
Marianne,Albert,,,01.28.49.83.23,marianne.albert@server.fr,
Denis,Albert,MARSEILLE,13002,04.98.13.19.67,denis.albert@server.fr,
Monique,Albert,,,02.67.56.11.72,monique.albert@server.fr,agriculteur
Noel,Albert,,,04.01.13.46.06,noel.albert@server.fr,acteur
Jeannine,Albert,LYON,69009,04.51.30.12.02,jeannine.albert@server.fr,
Etienne,Albert,PARIS,75018,01.37.74.73.01,etienne.albert@server.fr,
Thomas,Albert,PARIS,75013,01.26.80.02.12,thomas.albert@server.fr,technicien
Capucine,Albert Le Lucas,,,01.47.29.41.93,capucine.albert-le-lucas@server.fr,
Rene,Albert de Bonneau,LE HAVRE,76620,02.60.96.67.63,rene.albert-de-bonneau@server.fr,avocat
Remy,Albert-Aubert,ST ETIENNE,42100,04.09.85.41.26,,acteur
Emmanuel,Albert-Marin,STRASBOURG,67000,03.36.81.12.27,,
Maurice,Alexandre,MARSEILLE,13013,04.03.47.63.17,maurice.alexandre@server.fr,medecin
Edouard,Alexandre,BORDEAUX,33200,05.82.00.43.51,edouard.alexandre@server.fr,
Juliette,Alexandre,PARIS,75116,01.64.10.08.60,juliette.alexandre@server.fr,comptable
Lucas,Alexandre,,,04.99.63.35.12,,informaticien
Franck,Alexandre,,,02.11.52.13.66,franck.alexandre@server.fr,chauffeur
Remy,Alexandre,,,05.97.46.44.55,remy.alexandre@server.fr,boulanger
Claire,Alexandre,TOULOUSE,31300,05.40.98.29.91,claire.alexandre@server.fr,
